id,ucdp_id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,month,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob,candidate,candidate_event_ingest_date
77556940,542051,SUD-2024-1-17497-289,2024,1,Clear,1,309,309,Sudan: Government,17497,17497,Government of Sudan - RSF,112,112,Government of Sudan,8635,8635,RSF,1,"""Reuters News,2024-09-09,RSF paramilitaries kill 31 in Sudanese city of Sennar, activists say""",Reuters News,09/09/2024,"RSF paramilitaries kill 31 in Sudanese city of Sennar, activists say",Emergency Lawyers,1,El Obeid town,el-Obeid,North Kordofan state,Shiekan district,13.18421,30.21669,POINT (30.21669 13.18421),148741,Sudan,625,Africa,1,2,09,2024-09-08T00:00:00,2024-09-09T00:00:00,0,0,0,1,1,1,1,625,,TRUE,2024-09-01 00:00:00+00:00
77556941,542052,SUD-2024-1-17497-288,2024,1,Clear,1,309,309,Sudan: Government,17497,17497,Government of Sudan - RSF,112,112,Government of Sudan,8635,8635,RSF,3,"""Reuters News,2024-09-09,RSF paramilitaries kill 31 in Sudanese city of Sennar, activists say"";""Agence France Presse,2024-09-09,Paramilitary gunfire in Sudan city a day after deadly shelling"";""Sudan Tribune,2024-09-10,Death toll from RSF shelling in Sudan’s Sennar Rises to 40""",Reuters News;Agence France Presse;Sudan Tribune,2024-09-09;2024-09-09;2024-09-10,"RSF paramilitaries kill 31 in Sudanese city of Sennar, activists say;Paramilitary gunfire in Sudan city a day after deadly shelling;Death toll from RSF shelling in Sudan’s Sennar Rises to 40",Emergency Lawyers,1,El Souki town,"al-Souki, a town near Sennar",Sennar state,El Souki district,13.322211,33.895993,POINT (33.895993 13.322211),148748,Sudan,625,Africa,1,1,09,2024-09-08T00:00:00,2024-09-08T00:00:00,0,0,0,4,4,4,4,625,,TRUE,2024-09-01 00:00:00+00:00
77557011,542175,SUD-2024-3-17514-130,2024,1,Check geography,3,8635,15913,RSF - Civilians,8635,17514,RSF - Civilians,8635,8635,RSF,9999,1,Civilians,3,"""Xinhua News Agency,2024-09-15,At least 40 civilians killed in paramilitary forces attack in central Sudan: resistance committee"";""Darfur 24,2024-09-18,Rapid Support Forces prevent Al-Jazeera residents from burying their dead"";""Sudan Tribune,2024-09-21,RSF accused of new atrocities in Central Sudan""",Xinhua News Agency;Darfur 24;Sudan Tribune,2024-09-15;2024-09-18;2024-09-21,At least 40 civilians killed in paramilitary forces attack in central Sudan: resistance committee;Rapid Support Forces prevent Al-Jazeera residents from burying their dead;RSF accused of new atrocities in Central Sudan,Abu Gouta Resistance Committee,2,Abu Qutah town,Gouz Al-Naqa village of Abu Gouta area,Gezira state,El Hasahisa district,14.9288,32.7317,POINT (32.7317 14.9288),150906,Sudan,625,Africa,1,1,09,2024-09-15T00:00:00,2024-09-15T00:00:00,0,0,40,0,40,40,40,,,TRUE,2024-09-01 00:00:00+00:00
77557015,542181,SUD-2024-1-17497-290,2024,1,Clear,1,309,309,Sudan: Government,17497,17497,Government of Sudan - RSF,112,112,Government of Sudan,8635,8635,RSF,2,"""Xinhua News Agency,2024-09-18,2 killed, 10 injured in paramilitary forces' artillery attack on Sudanese city"";""Xinhua News Agency,2024-09-21,4 killed, 9 injured in paramilitary forces' attack in Sudan's Khartoum State""",Xinhua News Agency;Xinhua News Agency,2024-09-18;2024-09-21,"2 killed, 10 injured in paramilitary forces' artillery attack on Sudanese city;4 killed, 9 injured in paramilitary forces' attack in Sudan's Khartoum State",Khartoum State's Health Ministry,5,Karari locality,Karari locality of northern Omdurman,Khartoum state,Omdurman district,16.14345,32.12128,POINT (32.12128 16.14345),153065,Sudan,625,Africa,1,1,09,2024-09-18T00:00:00,2024-09-18T00:00:00,0,0,0,2,2,2,2,625,,TRUE,2024-09-01 00:00:00+00:00
77557017,542183,SUD-2024-1-17497-291,2024,1,Clear,1,309,309,Sudan: Government,17497,17497,Government of Sudan - RSF,112,112,Government of Sudan,8635,8635,RSF,1,"""Radio Dabanga,2024-09-13,Sudan battles continue in Darfur and Khartoum, drone shot above Shendi""",Radio Dabanga,13/09/2024,"Sudan battles continue in Darfur and Khartoum, drone shot above Shendi",Radio Dabanga,2,Omdurman town,El Shahinab in the northern countryside of Omdurman,Khartoum state,Omdurman district,15.636111,32.437222,POINT (32.437222 15.636111),152345,Sudan,625,Africa,1,1,09,2024-09-12T00:00:00,2024-09-12T00:00:00,0,0,3,0,3,3,3,625,,TRUE,2024-09-01 00:00:00+00:00
77557681,543327,SUD-2024-1-17497-302,2024,1,Clear,1,309,309,Sudan: Government,17497,17497,Government of Sudan - RSF,112,112,Government of Sudan,8635,8635,RSF,1,"""Sudan War Monitor,2024-09-27,16 citizens killed and injured in a Rapid Support Forces attack on Marbuta village in Al-Adiya locality in West Kordofanمقتل وجرح ١٦ مواطناً فى هجومٍ للدعم السريع على قرية مربُوتة بمحلية الأضية بغرب كردفان""",Sudan War Monitor,27/09/2024,16 citizens killed and injured in a Rapid Support Forces attack on Marbuta village in Al-Adiya locality in West Kordofanمقتل وجرح ١٦ مواطناً فى هجومٍ للدعم السريع على قرية مربُوتة بمحلية الأضية بغرب كردفان,an eyewitness,1,Marbutah village,Marbuta village in Al-Adiya locality,West Kordofan state,El Salam district,12.25,28.85,POINT (28.85 12.25),147298,Sudan,625,Africa,1,1,09,2024-09-25T00:00:00,2024-09-25T00:00:00,0,0,9,0,9,9,9,625,,TRUE,2024-09-01 00:00:00+00:00
77557683,543329,SUD-2024-1-17497-303,2024,1,Check deaths,1,309,309,Sudan: Government,17497,17497,Government of Sudan - RSF,112,112,Government of Sudan,8635,8635,RSF,1,"""Sudan War Monitor,2024-09-29,Battle of the Honey Stoneمعركة حجر العسل""",Sudan War Monitor,29/09/2024,Battle of the Honey Stoneمعركة حجر العسل,OSINT Sudan,3,Shendi district,on the Khartoum-Shendi road ~11 km south of Hajar al-Asal,River Nile state,Shendi district,16.489,33.66,POINT (33.66 16.489),153068,Sudan,625,Africa,1,1,09,2024-09-28T00:00:00,2024-09-28T00:00:00,0,0,0,0,0,2,0,625,,TRUE,2024-09-01 00:00:00+00:00
77557685,543331,SUD-2024-1-17497-304,2024,1,Clear,1,309,309,Sudan: Government,17497,17497,Government of Sudan - RSF,112,112,Government of Sudan,8635,8635,RSF,3,"""Sudan War Monitor,2024-09-30,At least five killed and several others injured in airstrikes on Kutum cityمقتل خمسة على الأقل وإصابة عدد آخرين جراء قصف الطيران على مدينة كتم"";""Darfur 24,2024-09-30,Woman killed in airstrike on Kutum, North Darfur"";""Radio Dabanga,2024-10-01,Darfur: Air raids on Kutum, battles in El Fasher and Kulbus""",Sudan War Monitor;Darfur 24;Radio Dabanga,2024-09-30;2024-09-30;2024-10-01,"At least five killed and several others injured in airstrikes on Kutum cityمقتل خمسة على الأقل وإصابة عدد آخرين جراء قصف الطيران على مدينة كتم;Woman killed in airstrike on Kutum, North Darfur;Darfur: Air raids on Kutum, battles in El Fasher and Kulbus",Field sources from the city of Kutum,1,Kutum town,city of Kutum,North Darfur state,Kutum district,14.203053,24.663841,POINT (24.663841 14.203053),150170,Sudan,625,Africa,1,1,09,2024-09-30T00:00:00,2024-09-30T00:00:00,0,0,2,3,5,5,5,625,,TRUE,2024-09-01 00:00:00+00:00
77557686,543332,SUD-2024-1-17497-305,2024,1,Clear,1,309,309,Sudan: Government,17497,17497,Government of Sudan - RSF,112,112,Government of Sudan,8635,8635,RSF,3,"""Sudan Tribune,2024-09-30,Sudan army airstrike kills at least six in Khartoum"";""Radio Dabanga,2024-10-01,Battles persist in Sudan capital, governor calls for support for people in Khartoum Bahri"";""Sudan War Monitor,2024-10-02,The National Council for Childhood reveals that more than 3,000 children were killed by Rapid Support Forces bullets in Sudanالمجلس القومي للطفولة يكشف عن مقتل اكثر 3000 طفل برصاص الدعم السريع في السودان""",Sudan Tribune;Radio Dabanga;Sudan War Monitor,2024-09-30;2024-10-01;2024-10-02,"Sudan army airstrike kills at least six in Khartoum;Battles persist in Sudan capital, governor calls for support for people in Khartoum Bahri;The National Council for Childhood reveals that more than 3,000 children were killed by Rapid Support Forces bullets in Sudanالمجلس القومي للطفولة يكشف عن مقتل اكثر 3000 طفل برصاص الدعم السريع في السودان",The South Belt Emergency Room,1,Khartoum city,Al-Inqaz and Al-Azhari neighborhoods in the South Belt,Khartoum state,Khartoum district,15.588056,32.534167,POINT (32.534167 15.588056),152346,Sudan,625,Africa,1,1,09,2024-09-29T00:00:00,2024-09-29T00:00:00,0,0,6,0,6,6,6,625,,TRUE,2024-09-01 00:00:00+00:00
77557146,542342,SUD-2024-1-17497-299,2024,1,Clear,1,309,309,Sudan: Government,17497,17497,Government of Sudan - RSF,112,112,Government of Sudan,8635,8635,RSF,1,"""Darfur 24,2024-09-23,27 killed in three days during the Rapid Support Forces’ bombing of the Hajar Qaddo market in El Fasher""",Darfur 24,23/09/2024,27 killed in three days during the Rapid Support Forces’ bombing of the Hajar Qaddo market in El Fasher,a spice trader in Hajar Qado market,1,Al Fashir town,Hajar Qado market in El Fasher,North Darfur state,El Fasher district,13.633333,25.35,POINT (25.35 13.633333),149451,Sudan,625,Africa,1,1,09,2024-09-22T00:00:00,2024-09-22T00:00:00,0,0,0,2,2,2,2,625,,TRUE,2024-09-01 00:00:00+00:00
